133,,,,,,,,,,,,,
134,Hogeschool van Arnhem en Nijmegen,Radboud Universiteit Nijmegen / University of Nijmegen,University of Amsterdam,Food and Business,Business Administration and Management; General,Business Administration and Management; General,year:2009,year:2014,year:2013,year:2013,year:2015,year:2017,
135,University of California; San Diego,Lynbrook High School,Hackbright Academy,Management Science,Front-End Web Development,,year:2008,year:2012,year:2004,year:2008,,,
136,Christelijke Hogeschool Windesheim,Universiteit van Amsterdam,,Financial Service Management,Executive Programme in Management Studies,,year:2006,year:2011,year:2014,year:2017,,,
137,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,Mathematics,Mathematics,,year:1988,year:1988,year:1990,year:1990,year:1988,year:1988,
138,Birla Institute of Technology and Science; Pilani,Vellore Institute of Technology,,Software Engineering,Computer Science,,year:2006,year:2008,year:2000,year:2004,,,
139,University of Washington; Michael G. Foster School of Business,North Seattle College,,Marketing; Information System,Business Administration and Management; General,,year:2014,year:2016,year:2012,year:2014,,,
140,Cloud Genius,University of Washington; Michael G. Foster School of Business,University of Washington,Product Management; Technology Adoption; Strategy,Computer Science,Product Management; Technology Adoption; Strategy,year:2016,year:2016,year:2001,year:2001,year:1997,year:1997,
141,Universidad Metropolitana Castro Carazo,Universidad Metropolitana Castro Carazo,Colorado State University,Computer Science,Business Administration and Management; General,Business Administration; Management and Operations,year:1998,year:2004,year:2012,year:2015,year:2011,,
142,University of Virginia,Penn State University,University of Virginia,Astronomy,Astronomy and Astrophysics,Astronomy,year:2006,year:2013,year:2001,year:2005,year:2006,year:2008,
143,University of Florida,University of Florida,Politecnico di Torino,Management,Nuclear  Engineering  Sciences,Nuclear  Engineering,year:2001,year:2001,year:2001,year:2001,year:1994,year:1994,
144,Rutgers; The State University of New Jersey-New Brunswick,Rutgers; The State University of New Jersey-New Brunswick,,Biomedical Engineering,Biomedical Engineering,,year:2014,year:2015,year:2010,year:2014,,,
145,The Ohio State University,University of South Carolina-Columbia,Indian Institute of Technology (Banaras Hindu University); Varanasi,,,,year:2002,year:2009,,,,,
146,,,,,,,,,,,,,
147,Sri Sivasubramaniya Nadar College Of Engineering,Illinois State University,Sri Sivasubramaniya Nadar College Of Engineering,Electrical; Electronic and Communications Engineering Technology/Technician,,,year:2006,year:2008,year:1999,year:2003,,,
148,,,,,,,,,,,,,
149,University of Alberta,,,,,,year:2013,year:2015,,,,,
150,Mangalore University,,,Electrical and Electronics Engineering,,,year:1992,year:1996,,,,,
151,The University of Texas at Austin,Ramrao Adik Institute of Technolog; University of Mumbai,The University of Texas at Austin,Accounting and Business/Management,Electronics,Accounting and Business/Management,,,,,,,
152,The Johns Hopkins University,University of Louisville,University of Louisville,Bloomberg School of Public Health - Data Science Specialization (Coursera),Electrical Engineering (Computer Vision),Electrical Engineering,year:2014,year:2015,year:2006,year:2011,year:2004,year:2006,
153,Udacity,Acadia University,University of Toronto,Machine Learning Engineer,Computer Science,Computer Science,year:2016,,year:2001,year:2005,year:2005,year:2007,
154,Johannes Gutenberg-Universität Mainz,Kazan State Finance and Economics Institute,Universität Bremen,Business and Economics,Business and Economics,Business and Economics,year:2011,year:2011,year:2005,year:2005,year:2008,year:2008,
155,HZ University of Applied Sciences,Nyenrode Business University,University of Bradford,Marketing,General Management,Business Administration,year:1989,year:1993,year:1993,year:1994,year:2009,year:2016,
156,,,,,,,,,,,,,
157,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,The University of Texas at Arlington - College of Business,Electronics and Communications,Business Analytics,,year:2007,year:2011,year:2016,year:2017,,,
158,Cibit Academy,Bedrijfskader HBO Eindhoven,IIR Experts in conferenties & trainingen,professionaliserings traject Certified Business Intelligence Professional (CBIP),management; logistiek,Big data analytics; http://iir.nl/events/big-data-analytics/,year:2015,year:2015,year:2016,year:2016,,,
159,Doha College,Queen's University,University of Toronto,Electrical and Electronics Engineering,Electrical; Electronics and Communications Engineering,,year:2000,year:2004,year:2004,year:2005,,,
160,University of Washington,University of Washington,General Assembly,UW Information School,Cloud Data Management & Analytics,Data Science,year:2014,year:2017,year:2014,,year:2016,,
161,University of Colorado at Boulder,University of Washington,,Technology; Media; and Society,Computer Science,,year:2010,year:2013,year:2005,year:2009,,,
162,Nanyang Technological University,,,,,,year:1993,year:1997,,,,,
163,dsj,The University of Tokyo,The University of Tokyo,Engineering,Engineering,,year:2009,year:2011,year:2004,year:2009,,,
164,Charlottenburg-Lancaster District High School,Data science Dojo,University of Waterloo,Physics,,,year:1992,year:1996,year:1996,year:2001,,,
165,University of Washington,Instituto Politécnico Nacional,,Data Science,Information Technology/ Computer Science,,year:2014,year:2014,year:1994,year:1999,,,
166,Kuwait University,,,Chemical Engineering,,,year:2003,year:2008,,,,,
167,Université Al-Akhawayn Ifrane,Duke University,,Economics; International Studies; Arabic Language,,,year:2010,year:2010,year:2008,year:2012,,,
168,Ural State Technical University,Ural State Technical University,University of Amsterdam Business School,Automated systems and software development,,,year:1998,year:2004,year:2016,year:2020,year:2012,year:2014,
169,Columbia University in the City of New York,,,Quantitative Methods in the Social Sciences,,,year:2002,year:2004,,,,,
170,,,,,,,,,,,,,
171,Kendriya Vidyalaya,Punjabi University,Punjabi University,,,,year:1992,year:1992,year:1992,year:1992,,,
172,Universitat Jaume I,Universitat Jaume I,Universitat Jaume I,Computer Science,Computer Science,Computer Science,year:2002,year:2003,year:1991,year:1997,year:2004,year:2007,
173,Université de Technologie de Troyes,Rumson-Fair Haven Regional High School,University of Michigan,Project Management & European History,Industrial and Operations Engineering,,year:2011,year:2011,year:2005,year:2009,year:2009,year:2013,
174,Galvanize - San Francisco; SoMa,Institute of Computer Applications,City University,Data Science,Computer Applications,Statistics and Operations Research,year:2017,year:2018,year:2002,year:2005,year:1998,year:2001,
175,Stichting Deeltijd Opleidingen,NCOI,,Payroll,Projectmanagement,,year:2011,year:2012,year:2014,year:2015,,,
176,North Carolina State University - College of Management,CED Solutions,University of North Carolina at Charlotte - Belk College of Business,MIS,,,year:2000,year:2002,year:1995,year:2000,,,
177,,,,,,,,,,,,,
178,The George Washington University,Regent University,Bucknell University,Education,Communication,Electrical Engineering,year:1996,year:1998,year:1998,year:2001,year:1988,year:1992,
179,,,,,,,,,,,,,
180,University of Puget Sound,General Assembly,Wellesley College,Teaching,Computer Science,,year:2002,year:2004,year:2016,,year:1992,year:1994,
181,Nicholls State University,Nicholls State University,,Post Secondary Mathematics Education,Computer Science,,year:2007,year:2009,year:2002,year:2007,,,
182,Data Science Dojo,University of Liverpool,European Business School - London,Data Science,Financial Economics,International Business,year:2015,year:2015,year:2000,year:2000,year:2008,year:2008,
183,,,,,,,,,,,,,
184,Villanova University,Rutgers; The State University of New Jersey-New Brunswick,Villanova University,Liberal Arts; Honors Program,Sociology,sociology,year:2002,year:2006,year:2007,year:2010,year:2002,year:2006,
185,University of Washington,University of Washington,,Computational and Applied Mathematics,Computational and Applied Mathematics,,year:2008,year:2008,year:2008,year:2008,,,
186,Brigham Young University,,,Design Engineering Technology,,,year:1980,year:1987,,,,,
187,University of Southern California,Maulana Azad National Institute of Technology,National Institute of Technology; Bhopal,Computer Science,Electronics,Electronics and Telecommunication,year:2001,year:2003,year:1995,year:1999,year:1995,year:1999,
188,Stanford University,University of California; Santa Cruz,Santa Clara University,Continuing Education,Silicon Valley Business Executive,Leading People and Organizations; Entrepreneurship,year:2005,,year:2007,,year:2009,year:2013,
189,UCL,Imperial College London,University of Oxford,Digital Anthropology,Digital Anthropology,,,,,,,,
190,,,,,,,,,,,,,
191,Babson College - Franklin W. Olin Graduate School of Business,Universite William Booth,,Entrepreneurship and Global Strategic Management,Business Administration - Marketing & Finance,,year:2010,year:2013,year:2001,year:2005,,,
192,Howest,,,Information Science,,,,,,,,,
193,University of Notre Dame,Data Science Dojo,St. Olaf College,Theoretical and Mathematical Physics,Physics; Mathematics,,year:2007,year:2016,year:2001,year:2005,,,
194,Pacific Lutheran University - School of Business,Pacific Lutheran University,Pacific Lutheran University - School of Business,Applied Economics,Computer Science,Applied Economics,,,,,,,
195,Rochester Institute of Technology,California State University-Northridge,Cornell University,International Marketing; Computer Science,,,year:1989,year:1994,,,,,
196,University of Hertfordshire,,,Computing and Engineering Acoustics,,,year:1996,year:1997,,,,,
197,Boise State University,Boise State University,,Production and Operations Management,,,year:1991,year:1995,year:2004,year:2006,,,
198,,,,,,,,,,,,,
199,The Open University,Duale Hochschule Baden-Württemberg Mannheim,,Technology Management,International Business Information Technology,,year:2013,year:2016,year:2006,year:2009,,,
200,,,,,,,,,,,,,
201,Universidad de Guadalajara,,,Administration,,,,,,,,,
202,UC San Diego & San Diego State University,McGill University,,Language and Communicative Disorders,Linguistics & Psychology,,year:2004,year:2009,year:1999,year:2003,,,
203,The University of British Columbia,,,Cell biology and genetics,,,,,,,,,
204,Portland State University,University of Washington,,Economics,Economics,,year:2007,year:2009,year:2003,year:2007,,,
205,,,,,,,,,,,,,
206,University of Melbourne,McGill University,McGill University,Finance,Computer Science,General Management; Finance & Strategic Management,year:2013,year:2013,year:2014,year:2017,year:2011,year:2014,
207,University of Allahabad,University of Pune,Boys' High School and College,Business; Maths; Statistics; Accounting; Law; Ecconomics,Business Management and Information Technology,Physics; Chemistry and Mathematics,year:1993,year:1996,year:1996,year:1999,year:1990,year:1993,
208,Data Science Dojo,Helsingin yliopisto,Universidad Autónoma de Madrid,Software Engineering; Software Processes and Quality; Opportunistic Networks.,Computer Systems and Web Applications; Distributed Systems; Operating Systems; Computer Architecture,Software Engineering; Software Processes and Quality; Opportunistic Networks.,year:2007,year:2007,year:2003,year:2003,year:2007,year:2007,
209,Universitat Autònoma de Barcelona,,,Computer Engineering,,,year:1993,year:2000,,,,,
210,Fundação Dom Cabral,Escola Superior de Propaganda e Marketing,,Business Administration and Management; General,Marketing/Marketing Management; General,,year:2015,year:2016,year:2004,year:2008,,,
211,,,,,,,,,,,,,
212,University of Cambridge,Kuopion Lyseon lukio,Aalto-yliopisto,Physics,Physics,,year:2003,year:2007,year:1999,year:2002,year:2007,year:2011,
213,Universität Bern,Singapore Management University,Universität Bern,Economics & Quantitative Finance,Economics & Quantitative Finance,,year:2012,year:2012,year:2010,year:2010,year:2012,year:2012,
214,IIT Kharagpur,IIT Roorkee,,Computer Science and Data Processing,Mathematics,,year:2005,year:2007,,,,,
215,Information Computer Systmes; Jaipur; India,Portland Community College,University of Rajasthan,Computer Science,Computer Science,Commerce,year:1992,year:1995,year:1999,year:2000,year:1989,year:1992,
216,University of Waterloo,,,Computer Science,,,year:1982,year:1987,,,,,
217,University of Waterloo,University of Waterloo,,Psychology,Social Psychology; Cross-Cultural Psychology,,year:2003,year:2006,year:2006,year:2011,,,
218,,,,,,,,,,,,,
219,University of Washington; Michael G. Foster School of Business,South Seattle Community College,Seattle Central Community College,Business Administration; Accounting and Information Systems,Graphic Imaging and Printing,,year:2016,,,,,,
220,University of Washington,,,,,,year:2003,year:2005,,,,,
221,Stanford University,University of Washington,University of Washington,,,,year:2015,year:2016,year:2014,year:2014,year:2014,year:2015,
222,Nanyang Technological University,,,Information Engineering an Media,,,year:2010,year:2014,,,,,
223,Saginaw Valley State University,Delta College,Saint Joseph's University,Computer Information Systems,Web Information Technology,Business Intelligence & Analytics,year:2010,year:2014,year:2008,year:2010,year:2016,year:2018,
224,Data Science Dojo,Milwaukee School of Engineering,,Electrical Engineering,,,year:1984,year:1989,,,,,
225,University of Washington,University of Washington,,Aerospace; Aeronautical and Astronautical Engineering,Aerospace; Aeronautical and Astronautical Engineering,,year:1992,year:1993,year:1986,year:1990,,,
226,Lithan Hall Academy,Nanyang Technological University,Lithan Hall Academy,Big Data Analytics,Computer Engineering,Database Management (BI Application),year:2015,year:2015,year:1996,year:1996,year:2013,year:2013,
