s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
40,Diversified Global Asset Management,Qubd Capital,The Carlyle Group,The Carlyle Group,Bank of Montreal,Client Service Associate,Vice President,Risk Management Associate (DGAM),Advisory Associate (DGAM),AML Adjudicator,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,,,month:8;year:2009,month:8;year:2012,year:2016,,month:3;year:2015,month:9;year:2015,month:9;year:2012,month:2;year:2015,month:4;year:2009,month:8;year:2009,
41,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Vietnam Veterans of America Foundation,BC Transit,DAI,The World Bank,humanGeo,GIS Consultant,GIS Analyst,Principal Development Specialist,Consultant,Principal Consultant,Victoria; Canada,Washington D.C. Metro Area,,,,month:8;year:2003,month:11;year:2003,month:1;year:2013,,month:12;year:2006,month:7;year:2010,month:10;year:2011,month:5;year:2012,month:4;year:2003,month:11;year:2006,
43,Eclipse Blinds,Aggrego Technology,,,,Graduate IT Analyst,Graduate Software Developer,,,,Glasgow; United Kingdom,,,,,month:11;year:2012,month:9;year:2014,month:9;year:2014,,,,,,,,
44,UBS,Oracle,Hewlett-Packard,UBS Investment Bank,UBS Global Asset Management,Sr Oracle DBA (SNG),Sr Consultant,Sr Oracle Lead,Database Team Lead - APAC,Business Aligned Oracle DBA,Singapore,,,,,month:10;year:2006,month:12;year:2008,month:1;year:2006,month:8;year:2006,month:1;year:2005,month:1;year:2006,month:1;year:2010,,month:1;year:2008,month:1;year:2009,
45,Disney Interactive Media Group,Celayix,FreshGrade,Disney Interactive,,Sr. QA Lead,QA Analyst,QA Manager,Sr. Tech Analyst,,Kelowna,Kelowna,,,,month:3;year:2010,month:9;year:2014,year:2008,year:2010,month:5;year:2015,,month:9;year:2014,month:5;year:2015,,,
46,Macquarie University,CSIRO,CSIRO,,,Post-doctoral research scientist,Research Scientist,Post-doctoral research scientist,,,North Ryde; Sydney,Darwin,Darwin,,,month:4;year:2007,month:4;year:2008,year:2011,,year:2008,year:2011,,,,,
47,EAE Business School,Bandeed,SDG Consulting,8Wires,ESADE Business & Law School,Associate Professor,Founder & CEO,Business Intelligence Consultant,Big Data & Analytics Manager,Big Data & Analytics Manager,Barcelona Area; Spain,Barcelona y alrededores; España,Barcelona y alrededores; España,Barcelona Area; Spain,Barcelona Area; Spain,month:9;year:2015,month:9;year:2015,month:9;year:2011,month:9;year:2011,month:9;year:2014,month:9;year:2014,month:3;year:2016,month:3;year:2016,month:9;year:2015,month:9;year:2015,
48,Insight Solutions / Sun Microsystems,Microsoft,HCL R&D Lab,(Startup),Science Infinity Club,Senior Software Engineer,Principal Engineering Manager,Senior Software Engineer,Co Founder,,Redmond; WA,Bellevue; WA,,,,month:11;year:1997,month:6;year:1998,month:6;year:1998,month:9;year:2016,month:4;year:1995,month:8;year:1997,month:9;year:2016,,,,
49,NETSCOUT,Thermo Fisher Scientific,McAfee,Gilead Sciences,Roche,Senior Staff Engineer,Contract : Software Architect,Contract : Sr. Developer,Contract : Software Architect & Developer,Senior Engineer,San Jose,San Jose,San Francisco Bay Area,Foster City; CA,Mountain View; CA,month:6;year:2016,,month:8;year:2013,month:11;year:2013,month:2;year:2013,month:8;year:2013,month:11;year:2013,month:6;year:2016,,,
50,PESSOA Institute for Social Entrepreneurship,Kauffman Foundation,Kauffman Foundation,The University of Kansas,Kauffman Foundation,Co Founder,Research and Policy - Internship,Research Analyst,International Finance Research Assistant,Senior Research Analyst and Program Officer,Belo Horizonte Area; Brazil,Kansas City; Missouri Area,Kansas City; Missouri Area,Lawrence; Kansas Area,,month:11;year:2009,month:5;year:2014,month:9;year:2012,month:5;year:2014,month:6;year:2014,month:6;year:2015,month:9;year:2012,month:12;year:2013,month:9;year:2015,,
51,The Dev Masters,Bank of America,GBCS LLC Irvine CA,Cumulus Data  LLC,Einstein Assembly,Founder -Chief Data Scientist,Enterprise Architect,Founder-Chief Data Scientist Einstein Assembly,Chief Technology Officer,Founder - chief architect eSportsDNA,Irvine; Los Angeles and San Diego CA,Irvine,Irvine ;Santa Monica; California,Irvine CA,Irvine CA,month:1;year:2014,,month:7;year:2007,month:10;year:2013,month:9;year:2012,,month:3;year:2013,month:9;year:2015,month:10;year:2015,,
52,DevWorks Consulting,Proxicom,Microsoft,SolidQ,Microsoft,Software & Database Architect,Senior Consultant,Senior Consultant,Mentor,Technology Architect,Microsoft Technology Center; Reston; VA,,,,,month:2;year:2010,month:5;year:2012,year:1999,year:2000,year:2000,year:2009,month:2;year:2010,month:5;year:2012,month:5;year:2012,,
53,Yale University School of Medicine,Yale University,Linksbridge,Humana,NYC Mayor's Office,Postgraduate Associate; Project Manager-Ukraine,Student Assistant; Fortunoff Video Archive for Holocaust Testimonies,Associate,Clinical Innovations Analyst,Research Analyst at the Center for Innovation through Data Intelligence,Greater Seattle Area,Greater New York City Area,,,,month:9;year:2010,month:10;year:2011,month:10;year:2008,month:5;year:2010,month:1;year:2016,,month:5;year:2014,month:12;year:2015,month:10;year:2011,month:4;year:2013,
