s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
154,Johannes Gutenberg-Universität Mainz,DB Cargo AG,DB Cargo AG,DB Schenker Rail Deutschland AG,DB Schenker Rail Deutschland AG,Lecturer,Manager Performance Analytics,Seniorreferentin Performance Analytics,Analyst Efficiency and Project Management,Senior Analyst Efficiency and Project Management,Mainz,Mainz Area; Germany,Mainz,Mainz,Mainz,month:4;year:2012,month:4;year:2012,month:10;year:2016,month:10;year:2016,month:12;year:2015,month:12;year:2015,month:2;year:2012,month:2;year:2012,month:3;year:2014,month:3;year:2014,
155,HZ University of Applied Sciences,Oce,HZ University of Applied Sciences,HZ University of Applied Sciences,HZ University of Applied Sciences,Marketing Manager,National Account Manager,Reader,Lecturer,Head of Department,,,,,,year:2006,year:2008,year:1998,year:2000,year:2008,,year:2000,year:2003,year:2003,year:2006,
156,Microsoft,Microsoft,,,,Chief Software Architect (MSIT),Chief Software Architect (MSIT),,,,,,,,,month:8;year:2006,month:8;year:2006,month:8;year:2006,month:8;year:2006,,,,,,,
157,Cognizant Technology Solutions,,,,,Programmer Analyst - Quality Assurance,,,,,Chennai Area; India,,,,,month:9;year:2011,month:7;year:2014,,,,,,,,,
158,Bladella,BDO Nederland,BDO Nederland,ACA,Valid,jeugdtrainer,Data Architect; Innovation & Architecture; BDO Global Office,Infrastructure Manager; Infrastructure Support Services; BDO Global IT,Product management / technisch consultant,Team coordinator / netwerk specialist,Bladel,Eindhoven,Eindhoven Area; Netherlands,Eindhoven Area; Netherlands,,month:8;year:2010,,month:11;year:2015,,month:5;year:2010,month:11;year:2015,month:7;year:1998,month:8;year:2007,month:8;year:2007,month:5;year:2010,
159,Cisco,Cisco,Motorola; Doha Petroleum; Commercial Bank of Qatar,Cisco,Cisco,Global Risk Manager; Finance,Channels Manager; Global Sales,Internships,Engineer,Program Manager; Operations,,,,,,month:10;year:2014,month:9;year:2016,month:9;year:2007,month:1;year:2011,year:2002,year:2004,month:7;year:2006,month:9;year:2007,month:1;year:2011,month:10;year:2014,
160,Alaska Airlines,Forte Design Systems,Impinj,Heather Harris Consulting,Mobile Semiconductor,Solutions Architect - Data Insights,Technical Marketing Staff Engineer,Consulting Engineer & Strategic Technical Marketing,Technology and Business Strategist,Technology; Business & Engineering Consultant,IT Systems,,,,,month:6;year:2015,,year:2004,year:2005,year:2003,year:2004,year:2006,year:2015,year:2012,year:2015,
161,Denver Biolabs,University of Colorado at Boulder,University of Colorado Denver,Dimagi Inc.,University of Colorado Denver,Executive Director,PhD Student,Associate Director; Inworks,Design Consultant,Assistant Professor; Clinical Teaching Track,Denver; CO,http://www.partopen.com,Denver; CO,Denver; CO,,month:1;year:2015,,month:8;year:2010,month:12;year:2013,month:5;year:2014,,month:4;year:2014,,month:8;year:2014,,
162,Hypercube Consulting,Hewlett Packard,Atos Origin,TRW Inc,SAP Consultant at Triaton Asia Pte Ltd (A company of ThyssenKrupp),Co-owner/Co-Founder,Product Dev. Engineer,SAP Consultant,Consultant,SAP Senior Consultant,,,,,,month:1;year:2005,,month:7;year:1997,month:1;year:2000,month:1;year:2001,month:1;year:2002,month:1;year:2000,month:1;year:2001,month:1;year:2002,month:1;year:2005,
163,Google Japan,Google,,,,Software Engineer,Senior Software Engineer,,,,Tokyo; Japan,Mountain View,,,,month:4;year:2011,month:1;year:2013,month:2;year:2013,,,,,,,,
164,Waste Reduction & Management; ECCC,Ecological Assessment Division; ECCC,Environment and Climate Change Canada,Powel Group,National Research Council Canada - Canadian Hydraulics Center,Senior Program Officer,Evaluator,Physical Sciences Specialist,Programmer / Analyst,Programmer / Analyst,K1A 0H3,K1A 0H3,victoria british columbia; Canada,Ottawa; Canada Area,,month:7;year:2016,month:11;year:2016,year:2007,month:7;year:2016,month:11;year:2016,,month:10;year:2001,month:8;year:2003,month:3;year:2005,month:9;year:2007,
165,Microsoft,Microsoft,Teradata,Microsoft Corporation,Microsoft Corporation,Sr. Business Strategy Manager,Sr. Technology Solutions Professional,Sr. Data Warehouse Consultant & Business Intelligence Specialist,Sr. Technology Strategist,Sr. Program Manager (PMP),World Wide,Mexico City; Mexico,Mexico & Latin America,World Wide,Redmond; WA; USA,month:11;year:2016,,month:1;year:2004,month:9;year:2007,month:1;year:1997,month:1;year:2004,month:11;year:2011,month:10;year:2016,month:9;year:2007,month:11;year:2011,
166,EQUATE Petrochemical Company,EQUATE Petrochemical Company,,,,Six Sigma Specialist - Black Belt,Production Engineer,,,,Kuwait,Kuwait,,,,month:4;year:2013,,month:4;year:2008,month:3;year:2013,,,,,,,
167,Groupon,Groupon,Groupon,The Taja; LLC,Groupon,Financial Analyst - Finance Analytics,Technical Product Manager- Relevance and Personalization,Associate Product Manager- Relevance Analytics,Founder,Finance Business Analyst,Greater Chicago Area,Greater Chicago Area,Greater Chicago Area,Greater Chicago Area,Greater Chicago Area,month:8;year:2013,month:10;year:2014,month:7;year:2015,,month:10;year:2014,month:7;year:2015,month:7;year:2014,month:8;year:2016,month:8;year:2012,month:8;year:2013,
168,Finalist,University of Amsterdam Business School,Elsevier,Elsevier,Firmshift,Business technology consultant & project manager,PhD Researcher,Head of Software Development – Life Sciences; Data-driven R&D products,IT Strategy consultant,Co-founder | Machine Learning; Data-driven Strategy; Researcher,Netherlands,Amsterdam Area; Netherlands,Amsterdam Area; Netherlands,Amsterdam Area; Netherlands,Amsterdam Area; Netherlands,month:10;year:2011,month:1;year:2013,month:8;year:2016,,year:2013,month:10;year:2016,month:8;year:2012,month:4;year:2013,year:2016,,
169,Bain & Company,,,,,Customer Insights & Advanced Analytics,,,,,Boston,,,,,month:7;year:2006,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Microsoft Corp,Microsoft Corp,,,,Software Design Engineer,Software Design Engineer,,,,,,,,,,,,,,,,,,,
172,Maat GKnowledge,Universitat Jaume I,Vrije Universiteit Brussel,,,Software Engineer,Lecturer,Researcher,,,,,,,,year:2001,year:2002,year:2002,,year:1998,year:2001,,,,,
173,PowerReviews,Angel Medical Systems,Walgreens,PowerReviews,Walgreens,Data Analyst,Supply Chain Logistics and Testing Intern,Senior Supply Chain Integration & Optimization Analyst,Data Scientist,Supply Chain Integration & Optimization Analyst,180 North LaSalle; Chicago; IL,Shrewsbury; NJ,Deerfield; IL,180 North LaSalle; Chicago; IL,Deerfield; IL,month:6;year:2015,month:10;year:2016,month:4;year:2012,month:9;year:2012,month:11;year:2014,month:6;year:2015,month:10;year:2016,,month:5;year:2013,month:11;year:2014,
174,Fujitsu A/S,Emerio & Encora Group,Exerp,Infinite Solutions - Fujitsu GDC,King,Lead Data Engineer,Senior Consultant,Technical Data Consultant,Senior Software Engineer,Senior Data Engineer,Copenhagen Area; Denmark,Stockholm; Sweden,,,,month:5;year:2010,month:9;year:2015,month:7;year:2007,month:2;year:2009,month:10;year:2015,month:8;year:2016,month:2;year:2009,month:1;year:2010,month:9;year:2016,,
175,Atos,Van der Zwet Accountants en Adviseurs,Manpower,Salarisprofs,Mazars Nederland,Payroll Specialist,Salarisprofessional,Salaris Expert,Interim Senior Salarisadministrateur,Specialist salarisadministratie,Amstelveen,Lisse,Diemen,Breda Area; Netherlands,,month:7;year:2016,month:12;year:2016,month:1;year:2016,month:3;year:2016,month:3;year:2016,month:7;year:2016,month:10;year:2008,,month:1;year:2017,,
176,Advantage Sales & Marketing,DAK Americas,Scottish Re,Hannover Life Re America,Special Olympics North Carolina,IT Product Manager,Systems Engineer/DBA,Senior Business Intelligence Engineer,Senior Business Intelligence Engineer,,,,,,,month:7;year:2014,,month:4;year:2002,month:10;year:2005,month:11;year:2005,month:6;year:2014,month:2;year:2009,month:6;year:2014,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Regent University,Loyola University Maryland,Regent University,IBM,,Professor of Education,Educational Consultant & Senior Systems Engineer,Associate Vice President for Teaching & Learning,Associate Engineer (Communications),,Virginia Beach; Virginia,Baltimore; Maryland,Virginia Beach; Virginia,Gaithersburg; Maryland,,year:2000,,year:1994,year:2000,year:2014,,year:1992,year:1994,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Microsoft,Independent,Microsoft,Microsoft,Accenture (BCForward),Program Manager & Lead PM,Technical Writer/editor,Senior Content Developer,Senior Content Analyst,Lead for Technology in Offering Development in Finance & Risk Services,,,,,,year:1995,year:2001,year:2005,year:2010,year:2010,year:2013,year:2013,year:2014,month:9;year:2014,month:8;year:2016,
181,ITT Technical Institute,Rouses Supermarkets,Nicholls State University,Exsilio Solutions,Blue Cliff College,Adjunct Mathematics Instructor,Software Developer,Mathematics Instructor,Data Science and Business Intelligence Consultant,Information Technologies/Mathematics Instructor,Thibodaux; LA,,,,,month:3;year:2010,month:5;year:2010,month:7;year:2011,month:8;year:2012,month:8;year:2012,month:8;year:2014,month:9;year:2014,,month:4;year:2010,month:7;year:2011,
182,Isobar,Isobar,Isobar,Isobar,Zone,Social Executive,Junior Analyst,Social Analyst,Senior Analyst,Data Analyst,London; United Kingdom,London; United Kingdom,London; United Kingdom,London; United Kingdom,London; United Kingdom,month:12;year:2011,month:12;year:2011,month:8;year:2012,month:8;year:2012,month:7;year:2013,month:7;year:2013,month:2;year:2015,month:2;year:2015,month:8;year:2016,month:8;year:2016,
183,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Rider University,Community Behavioral Health,Contexts magazine,Rutgers University,Rutgers University,Adjunct Faculty,Lead Research Analyst,Associate Managing Editor,Teaching Assistant/Instructor,Doctoral Candidate; Sociology,Greater Philadelphia Area,,,,,month:1;year:2011,,month:9;year:2014,,month:4;year:2013,month:10;year:2014,month:9;year:2009,month:8;year:2014,month:9;year:2007,month:5;year:2014,
185,Bright Seeds Academy,Kingsco Products Co.; Ltd.,Keywords Studios,AT-Tech,Denali Advanced Integration,Teacher Assistant,Intern,Microsoft - Xbox One Localization (Traditional Chinese) QA,Nuance - Swype QA Specialist,T-Mobile - Product Experience Team,Bellevue; WA,Taipei; Taiwan,Redmond; WA,Seattle; WA,Redmond; WA,month:10;year:2013,month:10;year:2013,month:1;year:2013,month:1;year:2013,month:2;year:2014,month:2;year:2014,month:11;year:2014,month:11;year:2014,month:7;year:2016,month:7;year:2016,
186,ON Semiconductor,1-800 CONTACTS,DHL,Motorola,,Data Warehouse Manager,Director of Data Management,Program Manager Americas BI,Developer and SW Project Manager,,,,,,,year:1999,year:2003,year:2004,,year:2003,year:2004,year:1988,year:1997,,,
187,USC,Computer Science Corporation,Excell Data,Mayo Clinic,Microsoft,Research Programmer,Software Engineer,Senior Software Engineer,Consultant,Senior Software Development Engineer,,,,,,month:8;year:2001,month:10;year:2004,month:7;year:1999,month:8;year:2001,year:2005,year:2005,month:10;year:2004,month:5;year:2005,month:7;year:2005,,
188,Broman Wireless,N3 Innovation,Silicon Valley Innovation Institute,Creative License Consulting,CollaMeta,Co-Founder and VP Engineering,Digital Innovation Director,Director,Catalyst,Founder,Silicon Valley; Philippines,http://www.n3innovation.com/Home,http://svii.net,http://www.creativelicenseconsulting.com/home/,http://collameta.com/,year:2006,year:2010,year:2015,,month:3;year:2010,,year:2010,,month:6;year:2010,,
189,Deliberata,JPMorganChase,Morgan Stanley,University College London,Doorstep Homeless Families Project,Consultant,ED,Consultant,MSc Student,Consultant,,,,,,month:9;year:2016,month:9;year:2016,month:5;year:1999,month:5;year:1999,month:1;year:2017,month:1;year:2017,month:9;year:2015,month:9;year:2015,month:9;year:2016,month:9;year:2016,
190,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Spurwink Services,Africa Crowd for Impact (ACI),OMYEN Corp.,Kaiser Associates,Charles I. Ecker Business Training Center at Howard Community College,Behavioral Health Professional - School Based,Managing Partner,Business Consultant,Consultant/ Contractor,PMP Candidate,Portland; Maine Area,Greater Boston Area,Westwood; MA,Washington D.C. Metro Area,Columbia; MD,year:2010,year:2011,year:2013,year:2014,month:2;year:2012,month:5;year:2012,year:2014,year:2014,month:1;year:2015,,
192,X-it,Pureplexity; the house of customer experience,Hello Customer,,,Owner,Lead developer projects & platforms,VP Product,,,Bruges,Gent Area; Belgium,,,,year:2003,year:2009,year:2009,month:7;year:2015,month:8;year:2014,,,,,,
193,University of Wisconsin-Madison; Physics Learning Center,University of Notre Dame,Virtustream,American Family Insurance,,Learning Support Facilitator,Graduate Student,Data Scientist / Senior Software Engineer,Data Scientist,,Madison; Wisconsin Area,South Bend; Indiana Area,Remote (Madison; WI),Madison; Wisconsin Area,,month:9;year:2013,month:5;year:2015,month:6;year:2007,month:1;year:2016,month:7;year:2016,month:11;year:2016,month:1;year:2017,,,,
194,Liberty Mutual Insurance,Microsoft - Online Services,Sound Credit Union,Microsoft - Marketing,Microsoft - Finance,Sr. System Analysis; Database Developer,Sr. Database Development Engineer,IT Operations; Computer Operator,Sr. Database Development Engineer,Sr. Database Development Engineer,SAFECO; Property & Casualty Group - Seattle; WA,Seattle; WA,Murphy & Associates; IT Consulting,Headquarters - Redmond; WA,Seattle; WA,year:1997,year:1997,year:2008,year:2008,year:1991,year:1991,year:2013,year:2013,month:1;year:2014,month:1;year:2014,
195,US Bank,JT Franko Inc.,Balboa Capital,Prolifiq Software,Lotus Arts de Vivre,Application Consultant,Information Technology Consultant,Database Administrator; Developer; Manager,Engineer,Information Technology Consultant,Portland; OR,US; Thailand; Singapore; India,Irvine; California,Beaverton; Oregon,Bangkok; Thailand / Bangalore; India / Singapore,year:2005,year:2011,year:2002,,year:1999,year:2003,month:10;year:2012,,year:2002,year:2005,
196,Information Week (UBM DeusM),Network Computing,MovingPackets.net,Network Computing (UBM DeusM),HERE,Moderator,Freelance Writer,Blogger,Moderator,Principal Network Engineer,http://www.informationweek.com/,http://networkcomputing.com/,http://movingpackets.net/,Greater Atlanta Area,,month:11;year:2013,month:10;year:2015,month:11;year:2015,,month:4;year:2011,,month:4;year:2014,month:10;year:2015,month:8;year:2015,,
197,Enigma Group; Inc,Bodybuilding.com,Vacasa,RegenceRx,Scentsy; Inc. (Corporate Office),Owner; President and Operator,Business Intelligence Analyst,Data Analyst,Data Analyst,Business Intelligence Developer,Boise; Idaho Area,Boise; Idaho Area,Boise; ID,,,month:12;year:2005,month:12;year:2012,month:12;year:2012,month:5;year:2014,month:7;year:2014,,month:8;year:2010,month:11;year:2012,month:3;year:2015,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,
199,DB Schenker,DB Schenker,DB Schenker,KRALLMANN AG,,IT Project Manager,Intern,IT Service Manager,Senior Consultant,,Berlin Area; Germany,,,,,month:5;year:2012,month:4;year:2015,month:8;year:2006,month:9;year:2009,month:10;year:2009,month:4;year:2012,month:5;year:2015,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PwC Mexico,,,,,IT Consultant,,,,,Mexico,Mexico,,,,month:9;year:2011,month:9;year:2011,month:9;year:2011,month:9;year:2011,,,,,,,
202,Cinch Financial,Center for Medical Technology Policy,MeYou Health,Insight Data Science,Qeepsake,Data Scientist,Real-World Evidence Working Group Member,Director; Program Design & Research,Fellow; Health Data Science,Data Strategy Advisor,Boston; MA,Auburndale MA,,,,month:8;year:2016,,month:4;year:2016,,month:12;year:2010,month:1;year:2016,month:5;year:2016,,month:2;year:2016,,
203,UBC centre for Applied Neurobiology,BC Cancer Agency,,,,Application Developer,Computational Biologist,,,,Vancouver; Canada Area,,,,,month:9;year:2016,,month:6;year:2014,month:9;year:2016,,,,,,,
204,Puget Sound Energy,T-Mobile,,,,Sr. Energy Resource Group Analyst,Business Analysis Manager,,,,,,,,,month:3;year:2010,month:5;year:2015,month:5;year:2015,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,
206,L'Oréal,Provender,Budge Studios,Desautels' Hot Cities of the World Tour,Air Liquide Canada,Sales and Business Intelligence Analyst,Real Ventures Fellow,Business Intelligence Analyst,Co-Organizer,M&A Analyst; ALLEX Program,Montreal; Canada Area,Montreal; Canada Area,Montreal; Canada Area,Montreal; Canada Area,Montreal; Canada Area,month:3;year:2015,month:2;year:2016,month:6;year:2014,month:8;year:2014,month:3;year:2016,,month:3;year:2014,month:12;year:2014,month:8;year:2014,month:3;year:2015,
207,Seattle Angel Conference,Alaska Airlines,Alaska Airlines,Microsoft,WorldWinger Travel LLC,Investor,Sr. Systems Analyst II - AlaskaAir.com,Staff Engineer - Resident Architect,Cloud Data Solution Architect - BigData & Analytics,Founder & CTO,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,month:3;year:2013,,month:10;year:2011,month:3;year:2013,month:3;year:2013,month:11;year:2015,month:11;year:2015,,month:8;year:2009,month:12;year:2014,
208,BBVA,Generali Employee Benefits,everis,Erasmus Student Network,everis,Technology and Operations Internship,Business Intelligence Developer,Solutions Programmer,Universidad Autónoma de Madrid section’s Secretary; Webmaster and delegate,Solutions Analyst,Brussels Area; Belgium,Brussels Area; Belgium,,,,month:1;year:2010,month:1;year:2010,month:11;year:2013,month:11;year:2013,month:9;year:2010,month:9;year:2010,month:9;year:2008,month:9;year:2008,month:3;year:2012,month:3;year:2012,
209,Oracle,Sogeti,Sit Mobile,Oracle,AGBAR,Technical Director,JavaEE and SOA Architect,J2EE Architect,Enterprise Architect,J2EE Senior Developer,Barcelona Area; Spain,Barcelona Area; Spain,Barcelona Area; Spain,Barcelona Area; Spain,,month:4;year:2015,,month:7;year:2002,month:6;year:2006,month:10;year:2001,month:6;year:2002,month:7;year:2006,,month:1;year:2000,month:9;year:2001,
210,Globo.com,AUNICA,UOL,Globo.com,UOL,Lead of Data Science,Project Coordinator of Data Strategy,Senior Audience Analyst,Business Intelligence Coordinator,Audience Coordinator,São Paulo Area; Brazil,São Paulo Area; Brazil,Rio de Janeiro Area; Brazil,São Paulo Area; Brazil,,month:9;year:2016,,month:1;year:2009,month:11;year:2009,month:12;year:2009,month:6;year:2012,month:8;year:2013,month:8;year:2016,month:7;year:2012,month:7;year:2013,
211,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Spinverse Ltd.,3DBear,Spinverse Consulting,Tekes,Aalto University School of Science and Technology,Chief Operating Officer; Co-Founder; Chairman of the Board,Senior Analyst,Senior Adviser,Graduate Researcher,,Espoo,Espoo,,,,month:10;year:2011,month:2;year:2013,month:9;year:2016,,month:3;year:2013,month:2;year:2014,month:2;year:2014,month:9;year:2016,month:8;year:2007,month:10;year:2011,
213,MAS,Singapore Economic Development Board,Monetary Authority of Singapore (MAS),MAS,Singapore Economic Development Board,Intern,Project Officer,Economist,Intern,Project Officer,Singapore,Singapore,Singapore,Singapore,Singapore,month:4;year:2013,month:4;year:2013,month:7;year:2012,month:7;year:2012,month:7;year:2014,month:7;year:2014,month:4;year:2013,month:4;year:2013,month:7;year:2012,month:7;year:2012,
214,Ipsos,IBM India,Fidelity Investments,Microsoft (DLI consultant),Expedia; Inc. (JMA),Assistant Manager,Data Specialist,Data Specialist,Business Intelligence Analyst,Sr Business Analyst,Bangalore,Hyderabad Area; India,Bengaluru Area; India,Redmond,Bellevue,month:12;year:2011,month:2;year:2014,month:2;year:2014,month:2;year:2015,month:2;year:2015,month:6;year:2015,month:10;year:2016,,month:11;year:2015,month:7;year:2016,
215,Bluetooth SIG,Bluetooth Sig,Vertafore,Bluetooth Sig,Microsoft,QA Lead,QA Lead,Software QA Lead,QA Lead,Software QA Engineer (Consultant),Kirkland; WA,Bothell; WA,Redmond; WA,,,month:3;year:2014,,year:2014,year:2015,month:8;year:2008,month:3;year:2014,year:2014,year:2015,month:7;year:2008,month:9;year:2008,
216,BMO FG,RBC,BMOFG,,,Data Architect,Enterprise Architect,Enterprise Architect,,,,,,,,month:4;year:2005,month:2;year:2011,month:1;year:2015,,year:2011,year:2014,,,,,
217,Overunity Corporation,Ontario Problem Gambling Research Centre,Strategic Science,,,Senior Research Consultant,Senior Research Officer,Founder & Principal,,,Toronto; Canada Area,,,,,year:2010,year:2010,year:2010,year:2012,year:2012,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Iridio Color Service,University of Washington; Michael G. Foster School of Business,Cenveo,Cenveo,Nikko Media,Intern,Student,Graphics Technician,Graphics Supervisor,Prepress Technician,Seattle; Washington,Kent; Washington,Kent; Washington,Seattle; Washington,,month:2;year:2001,month:3;year:2001,month:8;year:2006,month:3;year:2008,month:3;year:2008,month:8;year:2011,month:9;year:2001,month:8;year:2006,,,
220,Microsoft,,,,,Software Development Engineer,,,,,,,,,,,,,,,,,,,,
221,Microsoft,Intel,Microsoft,Intel,Microsoft,SDE; Outlook,Software Engineer,SDE; People Centric Experiences,Software Engineer - Intern,Software Engineer; Excel,Greater Seattle Area,Greater Seattle Area,,,,month:12;year:2012,,month:7;year:2004,month:8;year:2005,month:3;year:2010,month:12;year:2012,month:8;year:2006,month:8;year:2006,month:5;year:2007,month:3;year:2010,
222,UBS,UBS,Credit Suisse,UBS,UBS,Summer Intern - End User Services Product Management,Graduate Trainee - FX; Rates & Credit Client Office,Intern - Prime Services Business Control,IT Financial Management - Global Technical Service Center,Graduate Trainee - User Service Center Project Management,Singapore,Singapore,Singapore,Singapore,Singapore,month:5;year:2013,month:7;year:2013,month:7;year:2015,month:12;year:2015,month:7;year:2012,month:1;year:2013,month:1;year:2016,,month:7;year:2014,month:6;year:2015,
223,The Dow Chemical Company,Nexteer Automotive,Nexteer Automotive,Nexteer Automotive,,Co-Op PSC Collaboation - Management Support,Associate IT Analyst - Enterprise Resource Planning (ERP) Systems,Data Engineer - Data Management & BI,IT Analyst - Enterprise Resource Planning (ERP) Systems,,3900 E Holland Rd; Saginaw; MI 48601,3900 E Holland Rd; Sagianw; MI 48601,3900 E Holland Rd; Saginaw; MI 48601,,,month:3;year:2013,month:5;year:2014,month:6;year:2015,month:6;year:2016,month:6;year:2016,,month:6;year:2014,month:6;year:2015,,,
224,Abbott Laboratories,Cardinal Health,UNext.com,Organic; Inc,AbbVie,Enterprise Search Architect,Team Lead; Web Infrastructure & Corporate Applications,Senior Project Manager; E-Commerce Services,Project Manager,Information Technology Architect,North Chicago; IL,,,,,month:5;year:2008,month:12;year:2012,month:2;year:2002,month:4;year:2008,month:5;year:2000,month:9;year:2001,month:8;year:1999,month:12;year:1999,month:1;year:2013,,
225,Adobe,Adobe,Adobe,Adobe,Adobe,Computer Scientist - Electronic Software Delivery,Computer Scientist - CoreTech Engineer for Web Service for Metadata Storage,Computer Scientist - CoreTech DevOps Engineering,Senior Computer Scientist - Digital Imaging,Computer Scientist - Digital Imaging,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,month:1;year:2001,month:11;year:2008,month:12;year:2008,month:6;year:2010,month:7;year:2010,month:11;year:2013,month:6;year:2014,,month:11;year:2013,month:6;year:2014,
226,Greenwave Systems Inc,Seagate Technology,Global Sources,Accenture,Greenwave Systems Inc,Web Applications Manager,Web Applications Senior Analyst,Senior Systems Developer,Digital Business Integration Manager,Web Applications Manager,Singapore,Central Singapore,Singapore,Central Singapore,,month:4;year:2010,month:4;year:2010,month:10;year:2007,month:10;year:2007,month:6;year:2000,month:6;year:2000,month:12;year:2016,month:12;year:2016,month:4;year:2010,month:4;year:2010,
227,Citrix,Citrix,Citrix Systems Japan K.K.,Hortonworks,IBM,Lead System Engineer,Manager; Engineering,Solution / Product Marketing Manager,Marketing Director; North Asia,Senior Marketing Manager / Cloud Evangelist; IBM Cloud,Tokyo; Japan,Tokyo; Japan,,,,month:8;year:2008,month:7;year:2009,month:5;year:2005,month:8;year:2008,month:7;year:2009,month:2;year:2014,month:6;year:2016,,month:3;year:2014,month:6;year:2016,
228,Avis Budget Group,JCPenney,Walmart,Avis Budget Group,Avis Budget Group,Consultant,Data Scientist,Consultant Data Scientist,IT Analyst,IT Consultant,Plano; Texas,Bentonville; Arkansas,Parsippany; New Jersey,New Jersey,,year:2010,year:2014,month:8;year:2016,,month:1;year:2016,month:8;year:2016,month:1;year:2014,month:11;year:2015,month:1;year:2010,month:11;year:2015,
229,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Microsoft,Microsoft,Expedia,Wipro Technologies,Microsoft Corporation,Senior Data and Applied Scientist,Database Engineer - Windows Live,Sr Database Engineer,Database Engineer,Premier Field Engineer - Data Insights,Greater Seattle Area,Mountain View; CA,Greater Seattle Area,Hyderabad Area; India,Fayetteville; Arkansas Area,month:2;year:2014,,month:11;year:2009,month:7;year:2010,month:8;year:2010,month:1;year:2011,month:7;year:2005,month:10;year:2009,month:2;year:2011,month:1;year:2014,
231,Expedia; Inc.,CVS Health,Capgemini Consulting,Capital One,Expedia; Inc.,Senior Manager; Product Analytics & Strategy,Senior Financial Analyst,Associate Consultant,Senior Business Analyst,Senior Manager; Product Analytics & Strategy,Greater Seattle Area,Greater Boston Area,Richmond; Virginia Area,Greater Seattle Area,Greater Boston Area,month:12;year:2014,month:12;year:2014,month:8;year:2013,month:8;year:2013,month:6;year:2005,month:6;year:2005,month:4;year:2012,month:4;year:2012,month:12;year:2014,month:12;year:2014,
232,Raytheon,Intel Corporation,,,,Quality Assurance Engineer,Data Scientist and PCS Engineer,,,,Tucson; Arizona Area,Chandler; AZ,,,,month:8;year:2016,,month:5;year:1998,month:7;year:2016,,,,,,,
233,Microsoft,Microsoft,United States Marine Corps,Microsoft,Microsoft,SDET,Program Manager,Staff Sergeant,Senior Security Software Engineer,SDE,Redmond,Iwakuni; Japan,Redmond,Iwakuni; Japan,,month:11;year:2005,month:11;year:2005,month:11;year:2011,month:11;year:2011,month:10;year:2000,month:10;year:2000,month:2;year:2014,month:2;year:2014,month:3;year:2008,month:3;year:2008,
234,BeyondSoft Consulting Inc,Wicresoft,Bluetooth SIG,Beijing GTM scientific instruments LTD; Co,BeyondSoft Consulting Inc,SDET,SDET Lead,SDET II,Software Engineer (Intern),SDET,Beijing; China,Beijing; China,Kirkland; WA,Beijing; China,Greater Seattle Area,month:10;year:2010,month:2;year:2012,month:1;year:2007,month:10;year:2010,month:2;year:2014,,month:8;year:2005,month:10;year:2006,month:2;year:2012,month:1;year:2014,
235,North Carolina State University,Pacific Northwest National Laboratory - PNNL,NCSU Center for the Biology of Nematode Parasitism,Pacific Northwest National Laboratory,North Carolina State University,Teaching Assistant; Animal anatomy and Physiology,Senior Data Scientist,Bioinformatist; Tobacco Genome Project,Post Doctorate Research Associate,Research Technician; Red Wolf,College of Sciences,Richland/Kennewick/Pasco; Washington Area,Raleigh; NC,Richland; WA,College of Veterinary Medicine,month:8;year:2013,month:8;year:2013,month:2;year:2016,month:2;year:2016,month:5;year:2005,month:5;year:2005,month:1;year:2015,month:1;year:2015,month:5;year:2006,month:5;year:2006,
236,Trustpilot,,,,,Data Analyst,,,,,København; Denmark,,,,,month:10;year:2014,,,,,,,,,,
237,General Dynamics C4 Systems,NuTech Energy Alliance,Honeywell Technology Solutions; Inc.,Sandia National Laboratories,Socality App,Senior Software Engineer,Software Engineer,Software Engineer II,Senior Member of the Technical Staff,Owner; President; CEO,Las Cruces; NM / Phoenix; AZ,Humble; Tx,Las Cruces; NM / Santa Clara; CA,Albuquerque; NM,,month:8;year:2008,month:2;year:2012,month:2;year:2012,month:6;year:2012,month:6;year:2005,month:8;year:2008,month:6;year:2012,,month:7;year:2015,month:1;year:2017,
238,HeBei Mobile,Hebei University,Hebei University Software Center,,,JavaEE Developer,Python  Developer,Python Developer,,,Shijiazhuang; Hebei; China,Shijiazhuang; Hebei; China,Shijiazhuang; Hebei; China,,,month:3;year:2010,month:8;year:2011,month:9;year:2013,month:5;year:2014,month:9;year:2011,month:8;year:2013,,,,,
239,Universitat Jaume I,,,,,Professor,,,,,,,,,,,,,,,,,,,,
